DISTRICT,NEXT DISTRICT,mean_relative_deviation,n_samples,y_true_mean
Wan Chai,Tai Pak,0.2509076516825771,451,8.578048780487805
Yuen Long Town Centre,Yuen Long Rural East,0.25082202424926536,305,8.660983606557377
Yau Tsim Mong North,Kwai Chung West,0.25013531056454186,71,11.009859154929577
Sha Tin West,Kowloon City North,0.24951039978174697,36,9.908333333333333
Kwun Tong North,Kwun Tong Southeast,0.24949299619334242,159,8.600000000000001
Tuen Mun East,Tuen Mun North,0.2492781566866898,221,8.285067873303168
Wu Tip Shan,Sham Shui Po East,0.24916817183712098,14,7.471428571428571
Wong Tai Sin East,Kwun Tong Southeast,0.24916628562872517,120,7.628333333333334
Tai Po South,Tai Po South,0.24887987647600568,513,9.2859649122807
Sham Shui Po West,Islands,0.24845907331859052,80,17.945
Kwun Tong Central,Tseung Kwan O South,0.2483779025624274,36,9.786111111111111
Kwun Tong Southeast,Kwun Tong Southeast,0.24803001619759574,217,8.564516129032258
Wong Tai Sin East,Yau Tsim Mong North,0.24657644418558913,34,9.179411764705883
Islands,Tuen Mun East,0.24641844598861984,87,17.859770114942528
Kwai Chung East,Tsuen Wan Southeast,0.2453759835932115,208,7.731250000000001
Hong Wan,Wan Chai,0.24507472515527462,253,7.843083003952569
Yau Tsim Mong South,Sha Tin East,0.24383908214662198,126,14.612698412698412
Wong Tai Sin East,Kwun Tong North,0.24318475876155904,140,8.62
Yau Tsim Mong South,Sha Tin West,0.24295090468475386,112,13.203571428571427
Kwai Chung West,Kwai Chung West,0.24293340536188188,192,7.653645833333333
Tseung Kwan O North,Kowloon City North,0.2422594642429232,49,9.128571428571428
Tuen Mun East,Islands,0.24196727164312473,79,18.079746835443036
Chai Wan,Kwun Tong Southeast,0.24123970622189764,30,16.80333333333333
Sha Tin East,Tsuen Wan Northwest,0.2406965413338633,9,21.844444444444445
Wong Tai Sin East,Wong Tai Sin West,0.24065074286712193,72,8.825
Sham Shui Po East,Sham Shui Po West,0.24019995817446532,190,8.204210526315789
Islands,Sha Tin East,0.23956899025968928,27,22.42962962962963
Tsuen Wan Northwest,Tai Po South,0.23922360991768432,11,24.41818181818182
Tai Pak,Wan Chai,0.23864836449039653,438,8.267351598173516
Islands,Sha Tin South,0.23758640149355442,37,21.775675675675675
Sha Tin West,Tai Po South,0.2364242108040568,240,10.86125
Sha Tin South,Tsuen Wan Northwest,0.2360978472277604,14,19.085714285714285
Sha Tin West,Sham Shui Po East,0.23499484683329525,58,9.71206896551724
Tsuen Wan Southeast,Islands,0.23495701853571502,57,18.828070175438597
Kwai Chung East,Sham Shui Po West,0.2348311265573069,71,9.92112676056338
Wan Chai,Yau Tsim Mong South,0.23449103747831646,86,21.058139534883722
Wan Chai,Southern District Southeast,0.23424872265709681,636,8.72625786163522
Tuen Mun North,Tin Shui Wai South and Ping Ha,0.23355501350923588,76,8.346052631578948
Wong Tai Sin East,Wong Tai Sin East,0.23351252862498337,79,6.959493670886076
Kwai Chung East,Islands,0.23334521399830105,38,18.78421052631579
Yuen Long Rural East,Sha Tin West,0.2327110395947672,8,14.625
Sham Shui Po West,Sham Shui Po West,0.2314024075127738,137,6.853284671532847
Tai Po North,Sha Tin East,0.2308612418164297,86,14.44767441860465
Yau Tsim Mong North,Wong Tai Sin West,0.2306554812155856,85,8.438823529411764
Kwun Tong North,Tseung Kwan O North,0.23034962392973554,75,9.614666666666666
Central,Tai Pak,0.23023694819131704,298,10.331543624161075
Sham Shui Po West,Kowloon City North,0.23017057149371592,87,7.936781609195402
Tuen Mun East,Kwai Chung East,0.2299769786641185,49,8.991836734693878
Kwun Tong North,Kwun Tong West,0.2296564631936084,220,9.120000000000001
Kowloon City South,Sha Tin West,0.2296556503340724,20,15.38
Yau Tsim Mong North,Kwun Tong West,0.22958193997385323,68,8.757352941176471
Tai Po South,Sha Tin West,0.22921689373220727,277,11.393140794223827
Kwun Tong North,Kwun Tong North,0.22828620429238772,212,8.172169811320755
Islands,Tin Shui Wai South and Ping Ha,0.22763293081562141,121,20.2198347107438
Sha Tin East,Kwun Tong Southeast,0.22753175985815438,38,19.371052631578948
Sha Tin South,Yau Tsim Mong South,0.22592470692021796,103,12.654368932038835
Tai Po North,Tsuen Wan Southeast,0.22557362519677918,37,18.89189189189189
Yau Tsim Mong South,Wong Tai Sin East,0.22519126387688937,97,8.330927835051547
Sha Tin West,Sha Tin East,0.22462182343438805,245,9.76
Tsuen Wan Northwest,Sha Tin South,0.22437142727235806,12,19.45
Sha Tin West,Yau Tsim Mong South,0.2232785979020489,68,11.436764705882354
Kwun Tong North,Kwai Chung East,0.22301292708715792,8,12.212499999999999
Tuen Mun East,Yau Tsim Mong North,0.2223929148830885,84,13.245238095238093
Tuen Mun West,Kowloon City North,0.22156243879905682,744,21.449193548387097
Kwai Chung West,Yau Tsim Mong South,0.22154817431213478,57,12.221052631578948
Kowloon City South,Kowloon City South,0.2201234245555897,136,8.180882352941175
Yau Tsim Mong South,Tai Po South,0.21883110321086224,50,14.99
Sha Tin South,Tai Po South,0.21822600698065497,32,11.5875
Islands,Southern District Northwest,0.2180456839245676,1103,30.491477787851313
Sham Shui Po East,Kwai Chung West,0.21755966044670855,58,10.725862068965517
