Origin Station,Origin X_coord,Origin Y_coord,Destination Station,Destination X_coord,Destination Y_coord,Distance (km)
Ocean Park,22.248652,114.174384,Wong Chuk Hang,22.247872,114.167946,0.6805319925330773
Wong Chuk Hang,22.247872,114.167946,Ocean Park,22.248652,114.174384,0.6805319925330773
Wong Chuk Hang,22.247872,114.167946,Lei Tung,22.242025,114.156277,1.4420550051654892
Lei Tung,22.242025,114.156277,Wong Chuk Hang,22.247872,114.167946,1.4420550051654892
Lei Tung,22.242025,114.156277,South Horizons,22.242231,114.149175,0.8910304285891837
South Horizons,22.242231,114.149175,Lei Tung,22.242025,114.156277,0.8910304285891837
North Point,22.290554,114.200889,Quarry Bay,22.288262,114.208999,0.9403959195255668
Quarry Bay,22.288262,114.208999,North Point,22.290554,114.200889,0.9403959195255668
Quarry Bay,22.288262,114.208999,Yau Tong,22.297772,114.237093,3.3376076725393293
Yau Tong,22.297772,114.237093,Quarry Bay,22.288262,114.208999,3.3376076725393293
Yau Tong,22.297772,114.237093,Tiu Keng Leng,22.304106,114.252322,2.147799934292227
Tiu Keng Leng,22.304106,114.252322,Yau Tong,22.297772,114.237093,2.147799934292227
Tiu Keng Leng,22.304106,114.252322,Tseung Kwan O,22.307442,114.259945,0.8786271047718234
Tseung Kwan O,22.307442,114.259945,Tiu Keng Leng,22.304106,114.252322,0.8786271047718234
Tseung Kwan O,22.307442,114.259945,Hang Hau,22.315561,114.264422,1.2059617357325174
Hang Hau,22.315561,114.264422,Tseung Kwan O,22.307442,114.259945,1.2059617357325174
Hang Hau,22.315561,114.264422,Po Lam,22.322811,114.257755,1.0684088060294652
Po Lam,22.322811,114.257755,Hang Hau,22.315561,114.264422,1.0684088060294652
North Point,22.290554,114.200889,Quarry Bay,22.288262,114.208999,0.9403959195255668
Quarry Bay,22.288262,114.208999,North Point,22.290554,114.200889,0.9403959195255668
Central,22.281485,114.159391,Admiralty,22.279399,114.164852,0.6194189271049086
Admiralty,22.279399,114.164852,Central,22.281485,114.159391,0.6194189271049086
Admiralty,22.279399,114.164852,Tsim Sha Tsui,22.296225,114.172244,2.3200434745979095
Tsim Sha Tsui,22.296225,114.172244,Admiralty,22.279399,114.164852,2.3200434745979095
Tsim Sha Tsui,22.296225,114.172244,Jordan,22.305092,114.171616,0.9840240382104464
Jordan,22.305092,114.171616,Tsim Sha Tsui,22.296225,114.172244,0.9840240382104464
Jordan,22.305092,114.171616,Yau Ma Tei,22.313043,114.170585,0.8876207369103698
Yau Ma Tei,22.313043,114.170585,Jordan,22.305092,114.171616,0.8876207369103698
Yau Ma Tei,22.313043,114.170585,Mong Kok,22.319238,114.169309,0.6984850298064516
Mong Kok,22.319238,114.169309,Yau Ma Tei,22.313043,114.170585,0.6984850298064516
Mong Kok,22.319238,114.169309,Prince Edward,22.323934,114.168341,0.5296313444813908
Prince Edward,22.323934,114.168341,Mong Kok,22.319238,114.169309,0.5296313444813908
Prince Edward,22.323934,114.168341,Sham Shui Po,22.330593,114.162419,0.9945689906924962
Sham Shui Po,22.330593,114.162419,Prince Edward,22.323934,114.168341,0.9945689906924962
Sham Shui Po,22.330593,114.162419,Cheung Sha Wan,22.335484,114.156145,0.843263995332758
Cheung Sha Wan,22.335484,114.156145,Sham Shui Po,22.330593,114.162419,0.843263995332758
Cheung Sha Wan,22.335484,114.156145,Lai Chi Kok,22.337064,114.147768,0.9914508091816392
Lai Chi Kok,22.337064,114.147768,Cheung Sha Wan,22.335484,114.156145,0.9914508091816392
Lai Chi Kok,22.337064,114.147768,Mei Foo,22.337872,114.139154,0.936022657676724
Mei Foo,22.337872,114.139154,Lai Chi Kok,22.337064,114.147768,0.936022657676724
Mei Foo,22.337872,114.139154,Lai King,22.348333,114.126119,1.8040827258932377
Lai King,22.348333,114.126119,Mei Foo,22.337872,114.139154,1.8040827258932377
Lai King,22.348333,114.126119,Kwai Fong,22.356967,114.127924,1.095960790911268
Kwai Fong,22.356967,114.127924,Lai King,22.348333,114.126119,1.095960790911268
Kwai Fong,22.356967,114.127924,Kwai Hing,22.363024,114.131171,0.7821519850265577
Kwai Hing,22.363024,114.131171,Kwai Fong,22.356967,114.127924,0.7821519850265577
Kwai Hing,22.363024,114.131171,Tai Wo Hau,22.370687,114.124905,1.2870746873603212
Tai Wo Hau,22.370687,114.124905,Kwai Hing,22.363024,114.131171,1.2870746873603212
Tai Wo Hau,22.370687,114.124905,Tsuen Wan,22.373579,114.117829,0.8319784176390448
Tsuen Wan,22.373579,114.117829,Tai Wo Hau,22.370687,114.124905,0.8319784176390448
Wu Kai Sha,22.42922,114.243851,Ma On Shan,22.424988,114.231846,1.358152384640113
Ma On Shan,22.424988,114.231846,Wu Kai Sha,22.42922,114.243851,1.358152384640113
Ma On Shan,22.424988,114.231846,Heng On,22.417701,114.225705,1.104576677361539
Heng On,22.417701,114.225705,Ma On Shan,22.424988,114.231846,1.104576677361539
Heng On,22.417701,114.225705,Tai Shui Hang,22.408535,114.222668,1.0734952432811495
Tai Shui Hang,22.408535,114.222668,Heng On,22.417701,114.225705,1.0734952432811495
Tai Shui Hang,22.408535,114.222668,Shek Mun,22.387853,114.208456,2.8990298627761772
Shek Mun,22.387853,114.208456,Tai Shui Hang,22.408535,114.222668,2.8990298627761772
Shek Mun,22.387853,114.208456,City One,22.383089,114.203699,0.7205983386207296
City One,22.383089,114.203699,Shek Mun,22.387853,114.208456,0.7205983386207296
City One,22.383089,114.203699,Sha Tin Wai,22.377006,114.194927,1.1352129899199053
Sha Tin Wai,22.377006,114.194927,City One,22.383089,114.203699,1.1352129899199053
Sha Tin Wai,22.377006,114.194927,Che Kung Temple,22.374755,114.186228,0.9639453806754144
Che Kung Temple,22.374755,114.186228,Sha Tin Wai,22.377006,114.194927,0.9639453806754144
Che Kung Temple,22.374755,114.186228,Tai Wai,22.372757,114.178706,0.8278546374626935
Tai Wai,22.372757,114.178706,Che Kung Temple,22.374755,114.186228,0.8278546374626935
Tai Wai,22.372757,114.178706,Hin Keng,22.363795,114.170747,1.3278075840919648
Hin Keng,22.363795,114.170747,Tai Wai,22.372757,114.178706,1.3278075840919648
Hin Keng,22.363795,114.170747,Diamond Hill,22.339502,114.201136,4.412867023259994
Diamond Hill,22.339502,114.201136,Hin Keng,22.363795,114.170747,4.412867023259994
Diamond Hill,22.339502,114.201136,Kai Tak,22.330384,114.199223,1.2802916509945637
Kai Tak,22.330384,114.199223,Diamond Hill,22.339502,114.201136,1.2802916509945637
Kai Tak,22.330384,114.199223,Sung Wong Toi,22.326071,114.191469,0.9396200748548303
Sung Wong Toi,22.326071,114.191469,Kai Tak,22.330384,114.199223,0.9396200748548303
Sung Wong Toi,22.326071,114.191469,To Kwa Wan,22.317443,114.187585,1.132701931191041
To Kwa Wan,22.317443,114.187585,Sung Wong Toi,22.326071,114.191469,1.132701931191041
To Kwa Wan,22.317443,114.187585,Ho Man Tin,22.3096,114.182908,1.061110364251131
Ho Man Tin,22.3096,114.182908,To Kwa Wan,22.317443,114.187585,1.061110364251131
Ho Man Tin,22.3096,114.182908,Hung Hom,22.302733,114.182301,0.7927025527667955
Hung Hom,22.302733,114.182301,Ho Man Tin,22.3096,114.182908,0.7927025527667955
Hung Hom,22.302733,114.182301,East Tsim Sha Tsui,22.295217,114.17464,1.2034467391035086
East Tsim Sha Tsui,22.295217,114.17464,Hung Hom,22.302733,114.182301,1.2034467391035086
East Tsim Sha Tsui,22.295217,114.17464,Austin,22.304195,114.166541,1.6073849806708247
Austin,22.304195,114.166541,East Tsim Sha Tsui,22.295217,114.17464,1.6073849806708247
Austin,22.304195,114.166541,Nam Cheong,22.32663,114.153826,2.8368353949029577
Nam Cheong,22.32663,114.153826,Austin,22.304195,114.166541,2.8368353949029577
Nam Cheong,22.32663,114.153826,Mei Foo,22.33809,114.136562,2.3131239800308925
Mei Foo,22.33809,114.136562,Nam Cheong,22.32663,114.153826,2.3131239800308925
Mei Foo,22.33809,114.136562,Tsuen Wan West,22.368175,114.110143,4.441815907052097
Tsuen Wan West,22.368175,114.110143,Mei Foo,22.33809,114.136562,4.441815907052097
Tsuen Wan West,22.368175,114.110143,Kam Sheung Road,22.434694,114.063382,8.912532347179312
Kam Sheung Road,22.434694,114.063382,Tsuen Wan West,22.368175,114.110143,8.912532347179312
Kam Sheung Road,22.434694,114.063382,Yuen Long,22.44597,114.035385,3.5135957907481448
Yuen Long,22.44597,114.035385,Kam Sheung Road,22.434694,114.063382,3.5135957907481448
