Origin Station,Origin Station Number,Origin Latitude,Origin Longitude,Origin Constituency,Origin District,Destination Station,Destination Station Number,Destination Latitude,Destination Longitude,Destination Constituency,Destination District,Total Travel Time (mins),Total Distance (km),Fare (HKD),No. of Stations,Full Route
AsiaWorld-Expo,56,22.321713,113.942717,Islands,Islands,North Point,31,22.291469,114.200488,Tai Pak,Eastern,50,40.012903925164004,110.0,12,AsiaWorld-Expo -> Airport -> Tsing Yi -> Kowloon -> Hong Kong -> Central -> Admiralty -> Wan Chai -> Causeway Bay -> Tin Hau -> Fortress Hill -> North Point
AsiaWorld-Expo,56,22.321713,113.942717,Islands,Islands,Fortress Hill,30,22.288411,114.193708,Tai Pak,Eastern,48,39.09121738583057,110.0,11,AsiaWorld-Expo -> Airport -> Tsing Yi -> Kowloon -> Hong Kong -> Central -> Admiralty -> Wan Chai -> Causeway Bay -> Tin Hau -> Fortress Hill
AsiaWorld-Expo,56,22.321713,113.942717,Islands,Islands,Tin Hau,29,22.282663,114.191777,Wan Chai,Wan Chai,47,38.469493766960724,110.0,10,AsiaWorld-Expo -> Airport -> Tsing Yi -> Kowloon -> Hong Kong -> Central -> Admiralty -> Wan Chai -> Causeway Bay -> Tin Hau
AsiaWorld-Expo,56,22.321713,113.942717,Islands,Islands,Causeway Bay,28,22.2797,114.183429,Wan Chai,Wan Chai,45,37.58819035643629,110.0,9,AsiaWorld-Expo -> Airport -> Tsing Yi -> Kowloon -> Hong Kong -> Central -> Admiralty -> Wan Chai -> Causeway Bay
AsiaWorld-Expo,56,22.321713,113.942717,Islands,Islands,Wan Chai,27,22.277441,114.172207,Wan Chai,Wan Chai,42,36.405991154634336,110.0,8,AsiaWorld-Expo -> Airport -> Tsing Yi -> Kowloon -> Hong Kong -> Central -> Admiralty -> Wan Chai
AsiaWorld-Expo,56,22.321713,113.942717,Islands,Islands,Central,1,22.283041,114.158753,Central,Central and Western,38,34.90898876979242,110.0,6,AsiaWorld-Expo -> Airport -> Tsing Yi -> Kowloon -> Hong Kong -> Central
AsiaWorld-Expo,56,22.321713,113.942717,Islands,Islands,Sheung Wan,26,22.286863,114.152831,Central,Central and Western,40,35.73002335465783,110.0,7,AsiaWorld-Expo -> Airport -> Tsing Yi -> Kowloon -> Hong Kong -> Central -> Sheung Wan
AsiaWorld-Expo,56,22.321713,113.942717,Islands,Islands,Sai Ying Pun,81,22.285652,114.142704,Western,Central and Western,42,36.807405773382584,110.0,8,AsiaWorld-Expo -> Airport -> Tsing Yi -> Kowloon -> Hong Kong -> Central -> Sheung Wan -> Sai Ying Pun
AsiaWorld-Expo,56,22.321713,113.942717,Islands,Islands,HKU,82,22.283665,114.135716,Central,Central and Western,44,37.625467746041565,110.0,9,AsiaWorld-Expo -> Airport -> Tsing Yi -> Kowloon -> Hong Kong -> Central -> Sheung Wan -> Sai Ying Pun -> HKU
AsiaWorld-Expo,56,22.321713,113.942717,Islands,Islands,Kennedy Town,83,22.281119,114.128817,Western,Central and Western,45,38.44281124888295,110.0,10,AsiaWorld-Expo -> Airport -> Tsing Yi -> Kowloon -> Hong Kong -> Central -> Sheung Wan -> Sai Ying Pun -> HKU -> Kennedy Town
AsiaWorld-Expo,56,22.321713,113.942717,Islands,Islands,Tiu Keng Leng,49,22.304225,114.252389,Tseung Kwan O South,Sai Kung,62,46.438707451521125,110.0,15,AsiaWorld-Expo -> Airport -> Tsing Yi -> Kowloon -> Hong Kong -> Central -> Admiralty -> Wan Chai -> Causeway Bay -> Tin Hau -> Fortress Hill -> North Point -> Quarry Bay -> Yau Tong -> Tiu Keng Leng
AsiaWorld-Expo,56,22.321713,113.942717,Islands,Islands,Yau Tong,48,22.29809,114.237063,Kwun Tong Southeast,Kwun Tong,59,44.290907517228895,110.0,14,AsiaWorld-Expo -> Airport -> Tsing Yi -> Kowloon -> Hong Kong -> Central -> Admiralty -> Wan Chai -> Causeway Bay -> Tin Hau -> Fortress Hill -> North Point -> Quarry Bay -> Yau Tong
AsiaWorld-Expo,56,22.321713,113.942717,Islands,Islands,Lam Tin,38,22.307158,114.233168,Kwun Tong Central,Kwun Tong,62,41.507547038620515,65.0,19,AsiaWorld-Expo -> Airport -> Tsing Yi -> Lai King -> Mei Foo -> Lai Chi Kok -> Cheung Sha Wan -> Sham Shui Po -> Prince Edward -> Shek Kip Mei -> Kowloon Tong -> Lok Fu -> Wong Tai Sin -> Diamond Hill -> Choi Hung -> Kowloon Bay -> Ngau Tau Kok -> Kwun Tong -> Lam Tin
AsiaWorld-Expo,56,22.321713,113.942717,Islands,Islands,Kwun Tong,15,22.312319,114.22657,Kwun Tong Central,Kwun Tong,60,40.60730135174474,65.0,18,AsiaWorld-Expo -> Airport -> Tsing Yi -> Lai King -> Mei Foo -> Lai Chi Kok -> Cheung Sha Wan -> Sham Shui Po -> Prince Edward -> Shek Kip Mei -> Kowloon Tong -> Lok Fu -> Wong Tai Sin -> Diamond Hill -> Choi Hung -> Kowloon Bay -> Ngau Tau Kok -> Kwun Tong
AsiaWorld-Expo,56,22.321713,113.942717,Islands,Islands,Ngau Tau Kok,14,22.315669,114.218819,Kwun Tong Central,Kwun Tong,58,39.76179780776371,65.0,17,AsiaWorld-Expo -> Airport -> Tsing Yi -> Lai King -> Mei Foo -> Lai Chi Kok -> Cheung Sha Wan -> Sham Shui Po -> Prince Edward -> Shek Kip Mei -> Kowloon Tong -> Lok Fu -> Wong Tai Sin -> Diamond Hill -> Choi Hung -> Kowloon Bay -> Ngau Tau Kok
AsiaWorld-Expo,56,22.321713,113.942717,Islands,Islands,Kowloon Bay,13,22.323267,114.214248,Kwun Tong West,Kwun Tong,56,38.608264905934696,65.0,16,AsiaWorld-Expo -> Airport -> Tsing Yi -> Lai King -> Mei Foo -> Lai Chi Kok -> Cheung Sha Wan -> Sham Shui Po -> Prince Edward -> Shek Kip Mei -> Kowloon Tong -> Lok Fu -> Wong Tai Sin -> Diamond Hill -> Choi Hung -> Kowloon Bay
AsiaWorld-Expo,56,22.321713,113.942717,Islands,Islands,Choi Hung,12,22.334898,114.208546,Wong Tai Sin East,Wong Tai Sin,54,37.20642086138694,65.0,15,AsiaWorld-Expo -> Airport -> Tsing Yi -> Lai King -> Mei Foo -> Lai Chi Kok -> Cheung Sha Wan -> Sham Shui Po -> Prince Edward -> Shek Kip Mei -> Kowloon Tong -> Lok Fu -> Wong Tai Sin -> Diamond Hill -> Choi Hung
AsiaWorld-Expo,56,22.321713,113.942717,Islands,Islands,Diamond Hill,11,22.340167,114.200483,Wong Tai Sin East,Wong Tai Sin,52,36.189900666806516,65.0,14,AsiaWorld-Expo -> Airport -> Tsing Yi -> Lai King -> Mei Foo -> Lai Chi Kok -> Cheung Sha Wan -> Sham Shui Po -> Prince Edward -> Shek Kip Mei -> Kowloon Tong -> Lok Fu -> Wong Tai Sin -> Diamond Hill
AsiaWorld-Expo,56,22.321713,113.942717,Islands,Islands,Wong Tai Sin,10,22.341651,114.192597,Wong Tai Sin East,Wong Tai Sin,50,35.39557919095812,65.0,13,AsiaWorld-Expo -> Airport -> Tsing Yi -> Lai King -> Mei Foo -> Lai Chi Kok -> Cheung Sha Wan -> Sham Shui Po -> Prince Edward -> Shek Kip Mei -> Kowloon Tong -> Lok Fu -> Wong Tai Sin
AsiaWorld-Expo,56,22.321713,113.942717,Islands,Islands,Lok Fu,9,22.338009,114.187697,Wong Tai Sin West,Wong Tai Sin,48,34.55008911449352,65.0,12,AsiaWorld-Expo -> Airport -> Tsing Yi -> Lai King -> Mei Foo -> Lai Chi Kok -> Cheung Sha Wan -> Sham Shui Po -> Prince Edward -> Shek Kip Mei -> Kowloon Tong -> Lok Fu
