Origin Station,Origin District,Destination Station,Destination District,Route Travel Time (mins),Fare (HKD),Full Route
Wu Kai Sha,Sha Tin,Sung Wong Toi,Kowloon City,30,13.3,Wu Kai Sha -> Ma On Shan -> Heng On -> Tai Shui Hang -> Shek Mun -> City One -> Sha Tin Wai -> Che Kung Temple -> Tai Wai -> Hin Keng -> Diamond Hill -> Kai Tak -> Sung Wong Toi
Wu Kai Sha,Sha Tin,To Kwa Wan,Kowloon City,33,13.3,Wu Kai Sha -> Ma On Shan -> Heng On -> Tai Shui Hang -> Shek Mun -> City One -> Sha Tin Wai -> Che Kung Temple -> Tai Wai -> Hin Keng -> Diamond Hill -> Kai Tak -> Sung Wong Toi -> To Kwa Wan
Wu Kai Sha,Sha Tin,East Tsim Sha Tsui,Yau Tsim Mong,36,14.2,Wu Kai Sha -> Ma On Shan -> Heng On -> Tai Shui Hang -> Shek Mun -> City One -> Sha Tin Wai -> Che Kung Temple -> Tai Wai -> Kowloon Tong -> Mong Kok East -> Hung Hom -> East Tsim Sha Tsui
Wu Kai Sha,Sha Tin,Austin,Yau Tsim Mong,39,13.8,Wu Kai Sha -> Ma On Shan -> Heng On -> Tai Shui Hang -> Shek Mun -> City One -> Sha Tin Wai -> Che Kung Temple -> Tai Wai -> Kowloon Tong -> Mong Kok East -> Hung Hom -> East Tsim Sha Tsui -> Austin
Wu Kai Sha,Sha Tin,Nam Cheong,Sham Shui Po,42,11.2,Wu Kai Sha -> Ma On Shan -> Heng On -> Tai Shui Hang -> Shek Mun -> City One -> Sha Tin Wai -> Che Kung Temple -> Tai Wai -> Kowloon Tong -> Mong Kok East -> Hung Hom -> East Tsim Sha Tsui -> Austin -> Nam Cheong
Wu Kai Sha,Sha Tin,Mei Foo,Sham Shui Po,44,13.8,Wu Kai Sha -> Ma On Shan -> Heng On -> Tai Shui Hang -> Shek Mun -> City One -> Sha Tin Wai -> Che Kung Temple -> Tai Wai -> Kowloon Tong -> Shek Kip Mei -> Prince Edward -> Sham Shui Po -> Cheung Sha Wan -> Lai Chi Kok -> Mei Foo
Wu Kai Sha,Sha Tin,Tsuen Wan West,Tsuen Wan,50,14.3,Wu Kai Sha -> Ma On Shan -> Heng On -> Tai Shui Hang -> Shek Mun -> City One -> Sha Tin Wai -> Che Kung Temple -> Tai Wai -> Kowloon Tong -> Mong Kok East -> Hung Hom -> East Tsim Sha Tsui -> Austin -> Nam Cheong -> Mei Foo -> Tsuen Wan West
Wu Kai Sha,Sha Tin,Kam Sheung Road,Yuen Long,56,23.7,Wu Kai Sha -> Ma On Shan -> Heng On -> Tai Shui Hang -> Shek Mun -> City One -> Sha Tin Wai -> Che Kung Temple -> Tai Wai -> Kowloon Tong -> Mong Kok East -> Hung Hom -> East Tsim Sha Tsui -> Austin -> Nam Cheong -> Mei Foo -> Tsuen Wan West -> Kam Sheung Road
Wu Kai Sha,Sha Tin,Yuen Long,Yuen Long,59,24.7,Wu Kai Sha -> Ma On Shan -> Heng On -> Tai Shui Hang -> Shek Mun -> City One -> Sha Tin Wai -> Che Kung Temple -> Tai Wai -> Kowloon Tong -> Mong Kok East -> Hung Hom -> East Tsim Sha Tsui -> Austin -> Nam Cheong -> Mei Foo -> Tsuen Wan West -> Kam Sheung Road -> Yuen Long
Wu Kai Sha,Sha Tin,Long Ping,Yuen Long,61,24.7,Wu Kai Sha -> Ma On Shan -> Heng On -> Tai Shui Hang -> Shek Mun -> City One -> Sha Tin Wai -> Che Kung Temple -> Tai Wai -> Kowloon Tong -> Mong Kok East -> Hung Hom -> East Tsim Sha Tsui -> Austin -> Nam Cheong -> Mei Foo -> Tsuen Wan West -> Kam Sheung Road -> Yuen Long -> Long Ping
Wu Kai Sha,Sha Tin,Tin Shui Wai,Yuen Long,64,24.7,Wu Kai Sha -> Ma On Shan -> Heng On -> Tai Shui Hang -> Shek Mun -> City One -> Sha Tin Wai -> Che Kung Temple -> Tai Wai -> Kowloon Tong -> Mong Kok East -> Hung Hom -> East Tsim Sha Tsui -> Austin -> Nam Cheong -> Mei Foo -> Tsuen Wan West -> Kam Sheung Road -> Yuen Long -> Long Ping -> Tin Shui Wai
Wu Kai Sha,Sha Tin,Siu Hong,Tuen Mun,68,24.7,Wu Kai Sha -> Ma On Shan -> Heng On -> Tai Shui Hang -> Shek Mun -> City One -> Sha Tin Wai -> Che Kung Temple -> Tai Wai -> Kowloon Tong -> Mong Kok East -> Hung Hom -> East Tsim Sha Tsui -> Austin -> Nam Cheong -> Mei Foo -> Tsuen Wan West -> Kam Sheung Road -> Yuen Long -> Long Ping -> Tin Shui Wai -> Siu Hong
Wu Kai Sha,Sha Tin,Tuen Mun,Tuen Mun,71,24.7,Wu Kai Sha -> Ma On Shan -> Heng On -> Tai Shui Hang -> Shek Mun -> City One -> Sha Tin Wai -> Che Kung Temple -> Tai Wai -> Kowloon Tong -> Mong Kok East -> Hung Hom -> East Tsim Sha Tsui -> Austin -> Nam Cheong -> Mei Foo -> Tsuen Wan West -> Kam Sheung Road -> Yuen Long -> Long Ping -> Tin Shui Wai -> Siu Hong -> Tuen Mun
Wu Kai Sha,Sha Tin,Tung Chung,Islands,67,27.8,Wu Kai Sha -> Ma On Shan -> Heng On -> Tai Shui Hang -> Shek Mun -> City One -> Sha Tin Wai -> Che Kung Temple -> Tai Wai -> Kowloon Tong -> Shek Kip Mei -> Prince Edward -> Sham Shui Po -> Cheung Sha Wan -> Lai Chi Kok -> Mei Foo -> Lai King -> Tsing Yi -> Sunny Bay -> Tung Chung
Wu Kai Sha,Sha Tin,Lai King,Kwai Tsing,47,13.8,Wu Kai Sha -> Ma On Shan -> Heng On -> Tai Shui Hang -> Shek Mun -> City One -> Sha Tin Wai -> Che Kung Temple -> Tai Wai -> Kowloon Tong -> Shek Kip Mei -> Prince Edward -> Sham Shui Po -> Cheung Sha Wan -> Lai Chi Kok -> Mei Foo -> Lai King
Wu Kai Sha,Sha Tin,Olympic,Yau Tsim Mong,47,12.0,Wu Kai Sha -> Ma On Shan -> Heng On -> Tai Shui Hang -> Shek Mun -> City One -> Sha Tin Wai -> Che Kung Temple -> Tai Wai -> Kowloon Tong -> Mong Kok East -> Hung Hom -> East Tsim Sha Tsui -> Austin -> Nam Cheong -> Olympic
Wu Kai Sha,Sha Tin,Po Lam,Sai Kung,54,17.5,Wu Kai Sha -> Ma On Shan -> Heng On -> Tai Shui Hang -> Shek Mun -> City One -> Sha Tin Wai -> Che Kung Temple -> Tai Wai -> Hin Keng -> Diamond Hill -> Choi Hung -> Kowloon Bay -> Ngau Tau Kok -> Kwun Tong -> Lam Tin -> Yau Tong -> Tiu Keng Leng -> Tseung Kwan O -> Hang Hau -> Po Lam
Wu Kai Sha,Sha Tin,Hang Hau,Sai Kung,52,17.5,Wu Kai Sha -> Ma On Shan -> Heng On -> Tai Shui Hang -> Shek Mun -> City One -> Sha Tin Wai -> Che Kung Temple -> Tai Wai -> Hin Keng -> Diamond Hill -> Choi Hung -> Kowloon Bay -> Ngau Tau Kok -> Kwun Tong -> Lam Tin -> Yau Tong -> Tiu Keng Leng -> Tseung Kwan O -> Hang Hau
Wu Kai Sha,Sha Tin,Tseung Kwan O,Sai Kung,49,17.5,Wu Kai Sha -> Ma On Shan -> Heng On -> Tai Shui Hang -> Shek Mun -> City One -> Sha Tin Wai -> Che Kung Temple -> Tai Wai -> Hin Keng -> Diamond Hill -> Choi Hung -> Kowloon Bay -> Ngau Tau Kok -> Kwun Tong -> Lam Tin -> Yau Tong -> Tiu Keng Leng -> Tseung Kwan O
Wu Kai Sha,Sha Tin,LOHAS Park,Sai Kung,55,17.5,Wu Kai Sha -> Ma On Shan -> Heng On -> Tai Shui Hang -> Shek Mun -> City One -> Sha Tin Wai -> Che Kung Temple -> Tai Wai -> Hin Keng -> Diamond Hill -> Choi Hung -> Kowloon Bay -> Ngau Tau Kok -> Kwun Tong -> Lam Tin -> Yau Tong -> Tiu Keng Leng -> Tseung Kwan O -> LOHAS Park
Wu Kai Sha,Sha Tin,Tsuen Wan,Tsuen Wan,54,15.9,Wu Kai Sha -> Ma On Shan -> Heng On -> Tai Shui Hang -> Shek Mun -> City One -> Sha Tin Wai -> Che Kung Temple -> Tai Wai -> Kowloon Tong -> Shek Kip Mei -> Prince Edward -> Sham Shui Po -> Cheung Sha Wan -> Lai Chi Kok -> Mei Foo -> Lai King -> Kwai Fong -> Kwai Hing -> Tai Wo Hau -> Tsuen Wan
Wu Kai Sha,Sha Tin,Tai Wo Hau,Tsuen Wan,53,15.9,Wu Kai Sha -> Ma On Shan -> Heng On -> Tai Shui Hang -> Shek Mun -> City One -> Sha Tin Wai -> Che Kung Temple -> Tai Wai -> Kowloon Tong -> Shek Kip Mei -> Prince Edward -> Sham Shui Po -> Cheung Sha Wan -> Lai Chi Kok -> Mei Foo -> Lai King -> Kwai Fong -> Kwai Hing -> Tai Wo Hau
Wu Kai Sha,Sha Tin,Kwai Hing,Kwai Tsing,51,15.9,Wu Kai Sha -> Ma On Shan -> Heng On -> Tai Shui Hang -> Shek Mun -> City One -> Sha Tin Wai -> Che Kung Temple -> Tai Wai -> Kowloon Tong -> Shek Kip Mei -> Prince Edward -> Sham Shui Po -> Cheung Sha Wan -> Lai Chi Kok -> Mei Foo -> Lai King -> Kwai Fong -> Kwai Hing
Wu Kai Sha,Sha Tin,Kwai Fong,Kwai Tsing,49,15.9,Wu Kai Sha -> Ma On Shan -> Heng On -> Tai Shui Hang -> Shek Mun -> City One -> Sha Tin Wai -> Che Kung Temple -> Tai Wai -> Kowloon Tong -> Shek Kip Mei -> Prince Edward -> Sham Shui Po -> Cheung Sha Wan -> Lai Chi Kok -> Mei Foo -> Lai King -> Kwai Fong
Wu Kai Sha,Sha Tin,Lai Chi Kok,Sham Shui Po,42,12.0,Wu Kai Sha -> Ma On Shan -> Heng On -> Tai Shui Hang -> Shek Mun -> City One -> Sha Tin Wai -> Che Kung Temple -> Tai Wai -> Kowloon Tong -> Shek Kip Mei -> Prince Edward -> Sham Shui Po -> Cheung Sha Wan -> Lai Chi Kok
Wu Kai Sha,Sha Tin,Cheung Sha Wan,Sham Shui Po,40,12.0,Wu Kai Sha -> Ma On Shan -> Heng On -> Tai Shui Hang -> Shek Mun -> City One -> Sha Tin Wai -> Che Kung Temple -> Tai Wai -> Kowloon Tong -> Shek Kip Mei -> Prince Edward -> Sham Shui Po -> Cheung Sha Wan
Wu Kai Sha,Sha Tin,Sham Shui Po,Sham Shui Po,38,10.7,Wu Kai Sha -> Ma On Shan -> Heng On -> Tai Shui Hang -> Shek Mun -> City One -> Sha Tin Wai -> Che Kung Temple -> Tai Wai -> Kowloon Tong -> Shek Kip Mei -> Prince Edward -> Sham Shui Po
Wu Kai Sha,Sha Tin,Jordan,Yau Tsim Mong,41,13.3,Wu Kai Sha -> Ma On Shan -> Heng On -> Tai Shui Hang -> Shek Mun -> City One -> Sha Tin Wai -> Che Kung Temple -> Tai Wai -> Kowloon Tong -> Shek Kip Mei -> Prince Edward -> Mong Kok -> Yau Ma Tei -> Jordan
Wu Kai Sha,Sha Tin,Tsim Sha Tsui,Yau Tsim Mong,43,14.2,Wu Kai Sha -> Ma On Shan -> Heng On -> Tai Shui Hang -> Shek Mun -> City One -> Sha Tin Wai -> Che Kung Temple -> Tai Wai -> Kowloon Tong -> Shek Kip Mei -> Prince Edward -> Mong Kok -> Yau Ma Tei -> Jordan -> Tsim Sha Tsui
Wu Kai Sha,Sha Tin,Ocean Park,Southern,44,22.9,Wu Kai Sha -> Ma On Shan -> Heng On -> Tai Shui Hang -> Shek Mun -> City One -> Sha Tin Wai -> Che Kung Temple -> Tai Wai -> Kowloon Tong -> Mong Kok East -> Hung Hom -> Exhibition Centre -> Admiralty -> Ocean Park
Wu Kai Sha,Sha Tin,Wong Chuk Hang,Southern,46,22.9,Wu Kai Sha -> Ma On Shan -> Heng On -> Tai Shui Hang -> Shek Mun -> City One -> Sha Tin Wai -> Che Kung Temple -> Tai Wai -> Kowloon Tong -> Mong Kok East -> Hung Hom -> Exhibition Centre -> Admiralty -> Ocean Park -> Wong Chuk Hang
Wu Kai Sha,Sha Tin,Lei Tung,Southern,49,22.9,Wu Kai Sha -> Ma On Shan -> Heng On -> Tai Shui Hang -> Shek Mun -> City One -> Sha Tin Wai -> Che Kung Temple -> Tai Wai -> Kowloon Tong -> Mong Kok East -> Hung Hom -> Exhibition Centre -> Admiralty -> Ocean Park -> Wong Chuk Hang -> Lei Tung
Wu Kai Sha,Sha Tin,South Horizons,Southern,50,22.9,Wu Kai Sha -> Ma On Shan -> Heng On -> Tai Shui Hang -> Shek Mun -> City One -> Sha Tin Wai -> Che Kung Temple -> Tai Wai -> Kowloon Tong -> Mong Kok East -> Hung Hom -> Exhibition Centre -> Admiralty -> Ocean Park -> Wong Chuk Hang -> Lei Tung -> South Horizons
Ma On Shan,Sha Tin,AsiaWorld-Expo,Islands,73,65.0,Ma On Shan -> Heng On -> Tai Shui Hang -> Shek Mun -> City One -> Sha Tin Wai -> Che Kung Temple -> Tai Wai -> Kowloon Tong -> Shek Kip Mei -> Prince Edward -> Sham Shui Po -> Cheung Sha Wan -> Lai Chi Kok -> Mei Foo -> Lai King -> Tsing Yi -> Airport -> AsiaWorld-Expo
Ma On Shan,Sha Tin,Airport,Islands,69,65.0,Ma On Shan -> Heng On -> Tai Shui Hang -> Shek Mun -> City One -> Sha Tin Wai -> Che Kung Temple -> Tai Wai -> Kowloon Tong -> Shek Kip Mei -> Prince Edward -> Sham Shui Po -> Cheung Sha Wan -> Lai Chi Kok -> Mei Foo -> Lai King -> Tsing Yi -> Airport
Ma On Shan,Sha Tin,Tsing Yi,Kwai Tsing,50,15.9,Ma On Shan -> Heng On -> Tai Shui Hang -> Shek Mun -> City One -> Sha Tin Wai -> Che Kung Temple -> Tai Wai -> Kowloon Tong -> Shek Kip Mei -> Prince Edward -> Sham Shui Po -> Cheung Sha Wan -> Lai Chi Kok -> Mei Foo -> Lai King -> Tsing Yi
Ma On Shan,Sha Tin,Kowloon,Yau Tsim Mong,47,13.8,Ma On Shan -> Heng On -> Tai Shui Hang -> Shek Mun -> City One -> Sha Tin Wai -> Che Kung Temple -> Tai Wai -> Kowloon Tong -> Mong Kok East -> Hung Hom -> East Tsim Sha Tsui -> Austin -> Nam Cheong -> Olympic -> Kowloon
Ma On Shan,Sha Tin,Hong Kong,Central and Western,47,20.8,Ma On Shan -> Heng On -> Tai Shui Hang -> Shek Mun -> City One -> Sha Tin Wai -> Che Kung Temple -> Tai Wai -> Kowloon Tong -> Mong Kok East -> Hung Hom -> Exhibition Centre -> Admiralty -> Central -> Hong Kong
