Origin Station,Origin District,Destination Station,Destination District,Route Travel Time (mins),Fare (HKD),Full Route
Ma On Shan,Sha Tin,Sunny Bay,Tsuen Wan,58,23.9,Ma On Shan -> Heng On -> Tai Shui Hang -> Shek Mun -> City One -> Sha Tin Wai -> Che Kung Temple -> Tai Wai -> Kowloon Tong -> Shek Kip Mei -> Prince Edward -> Sham Shui Po -> Cheung Sha Wan -> Lai Chi Kok -> Mei Foo -> Lai King -> Tsing Yi -> Sunny Bay
Ma On Shan,Sha Tin,Disneyland Resort,Tsuen Wan,64,31.3,Ma On Shan -> Heng On -> Tai Shui Hang -> Shek Mun -> City One -> Sha Tin Wai -> Che Kung Temple -> Tai Wai -> Kowloon Tong -> Shek Kip Mei -> Prince Edward -> Sham Shui Po -> Cheung Sha Wan -> Lai Chi Kok -> Mei Foo -> Lai King -> Tsing Yi -> Sunny Bay -> Disneyland Resort
Ma On Shan,Sha Tin,Lo Wu,North,48,33.0,Ma On Shan -> Heng On -> Tai Shui Hang -> Shek Mun -> City One -> Sha Tin Wai -> Che Kung Temple -> Tai Wai -> Sha Tin -> Fo Tan -> University -> Tai Po Market -> Tai Wo -> Fanling -> Sheung Shui -> Lo Wu
Ma On Shan,Sha Tin,Sheung Shui,North,43,7.7,Ma On Shan -> Heng On -> Tai Shui Hang -> Shek Mun -> City One -> Sha Tin Wai -> Che Kung Temple -> Tai Wai -> Sha Tin -> Fo Tan -> University -> Tai Po Market -> Tai Wo -> Fanling -> Sheung Shui
Ma On Shan,Sha Tin,Fanling,North,41,7.7,Ma On Shan -> Heng On -> Tai Shui Hang -> Shek Mun -> City One -> Sha Tin Wai -> Che Kung Temple -> Tai Wai -> Sha Tin -> Fo Tan -> University -> Tai Po Market -> Tai Wo -> Fanling
Ma On Shan,Sha Tin,Tai Wo,Tai Po,37,7.7,Ma On Shan -> Heng On -> Tai Shui Hang -> Shek Mun -> City One -> Sha Tin Wai -> Che Kung Temple -> Tai Wai -> Sha Tin -> Fo Tan -> University -> Tai Po Market -> Tai Wo
Ma On Shan,Sha Tin,Tai Po Market,Tai Po,34,7.7,Ma On Shan -> Heng On -> Tai Shui Hang -> Shek Mun -> City One -> Sha Tin Wai -> Che Kung Temple -> Tai Wai -> Sha Tin -> Fo Tan -> University -> Tai Po Market
Ma On Shan,Sha Tin,University,Sha Tin,29,7.7,Ma On Shan -> Heng On -> Tai Shui Hang -> Shek Mun -> City One -> Sha Tin Wai -> Che Kung Temple -> Tai Wai -> Sha Tin -> Fo Tan -> University
Ma On Shan,Sha Tin,Fo Tan,Sha Tin,26,7.7,Ma On Shan -> Heng On -> Tai Shui Hang -> Shek Mun -> City One -> Sha Tin Wai -> Che Kung Temple -> Tai Wai -> Sha Tin -> Fo Tan
Ma On Shan,Sha Tin,Sha Tin,Sha Tin,23,7.7,Ma On Shan -> Heng On -> Tai Shui Hang -> Shek Mun -> City One -> Sha Tin Wai -> Che Kung Temple -> Tai Wai -> Sha Tin
Ma On Shan,Sha Tin,Tai Wai,Sha Tin,17,7.7,Ma On Shan -> Heng On -> Tai Shui Hang -> Shek Mun -> City One -> Sha Tin Wai -> Che Kung Temple -> Tai Wai
Ma On Shan,Sha Tin,Kowloon Tong,Sham Shui Po,23,10.7,Ma On Shan -> Heng On -> Tai Shui Hang -> Shek Mun -> City One -> Sha Tin Wai -> Che Kung Temple -> Tai Wai -> Kowloon Tong
Ma On Shan,Sha Tin,Mong Kok East,Yau Tsim Mong,26,11.5,Ma On Shan -> Heng On -> Tai Shui Hang -> Shek Mun -> City One -> Sha Tin Wai -> Che Kung Temple -> Tai Wai -> Kowloon Tong -> Mong Kok East
Ma On Shan,Sha Tin,Hung Hom,Yau Tsim Mong,30,11.5,Ma On Shan -> Heng On -> Tai Shui Hang -> Shek Mun -> City One -> Sha Tin Wai -> Che Kung Temple -> Tai Wai -> Kowloon Tong -> Mong Kok East -> Hung Hom
Ma On Shan,Sha Tin,Exhibition Centre,Wan Chai,33,20.8,Ma On Shan -> Heng On -> Tai Shui Hang -> Shek Mun -> City One -> Sha Tin Wai -> Che Kung Temple -> Tai Wai -> Kowloon Tong -> Mong Kok East -> Hung Hom -> Exhibition Centre
Ma On Shan,Sha Tin,Admiralty,Central and Western,35,20.8,Ma On Shan -> Heng On -> Tai Shui Hang -> Shek Mun -> City One -> Sha Tin Wai -> Che Kung Temple -> Tai Wai -> Kowloon Tong -> Mong Kok East -> Hung Hom -> Exhibition Centre -> Admiralty
