name,routeId,Fare,NumOfStops,distance,serviceDistricts,isCircular,start,startDistricts,end,endDistricts,detail
25B,CMPattern_CM_GMBBus_25b_1_8744,7.2,24,12.33885224,Tai Po South > Tai Po North > Tai Po South > Tai Po North > Tai Po South > Tai Po North > Tai Po South,TRUE,大埔墟（寶鄕街大埔社區中心外）總站 Tai Po Market (Po Heung Street outside Tai Po Community Centre) Terminus,Tai Po South,大埔墟（寶鄕街大埔社區中心外）總站 Tai Po Market (Po Heung Street outside Tai Po Community Centre) Terminus,Tai Po South,大埔墟 - 九龍坑／元嶺（循環綫） Tai Po Market - Kau Lung Hang / Yuen Leng (Circular)
1A,CMPattern_GMBBus1A_1_4002,10.9,24,13.87863802,Sai Kung and Hang Hau > Kwun Tong North > Wong Tai Sin East > Kwun Tong West > Wong Tai Sin East > Wong Tai Sin West > Wong Tai Sin East,FALSE,"福民路小巴總站，經華樓外 Fuk Man Road Public Light Bus Terminus, outside King Wah Building",Sai Kung and Hang Hau,鑽石山(彩虹道)公共運輸交匯處 Diamond Hill (Choi Hung Road) Pti,Wong Tai Sin East,彩虹新蒲崗 Choi Hung (San Po Kong)
1A,CMPattern_GMBBus1A_1_4001,10.9,19,13.66419455,Wong Tai Sin East > Sai Kung and Hang Hau,FALSE,鑽石山(彩虹道)公共運輸交匯處 Diamond Hill (Choi Hung Road) Pti,Wong Tai Sin East,"福民路小巴總站，經華樓外 Fuk Man Road Public Light Bus Terminus, outside King Wah Building",Sai Kung and Hang Hau,西貢 Sai Kung
1,CMPattern_CM_GMBBus_1_1_8187,10.9,19,14.47867651,Sai Kung and Hang Hau > Kwun Tong North > Wong Tai Sin East > Kwun Tong West,FALSE,"福民路小巴總站，經華樓外 Fuk Man Road Public Light Bus Terminus, outside King Wah Building",Sai Kung and Hang Hau,"德福花園德福廣場 Telford Plaza, Telford Gardens",Kwun Tong West,九龍灣德福花園 Kowloon Bay (Telford Gardens)
44A,CMPattern_GMBBus44A_5875,18.1,9,26.96505936,Tuen Mun West > Tuen Mun North > Robin’s Nest,FALSE,"鳴琴路，石排站外 Ming Kum Road, outside Shek Pai Stop",Tuen Mun West,上水站小巴總站 Sheung Shui Station Public Light Bus Terminus,Robin’s Nest,上水站 Sheung Shui Station
1A,CMPattern_GMBBus1A_1_5861,10.9,24,13.86364482,Sai Kung and Hang Hau > Kwun Tong North > Wong Tai Sin East > Kwun Tong West > Wong Tai Sin East > Wong Tai Sin West > Wong Tai Sin East,FALSE,西貢北（西貢警署） Sai Kung North (Sai Kung Police Station),Sai Kung and Hang Hau,鑽石山(彩虹道)公共運輸交匯處 Diamond Hill (Choi Hung Road) Pti,Wong Tai Sin East,彩虹新蒲崗 Choi Hung (San Po Kong)
76,CMPattern_GMBBus76_6888,7.5,17,11.45599371,Yuen Long Town Centre > Yuen Long Rural East,FALSE,"福康街，金寶樓外小巴總站 Fook Hong Street Public Light Bus Terminus, outside Kam Po Building",Yuen Long Town Centre,"嘉龍路，新田軍營外 Ka Lung Road, outside San Tin Barracks",Yuen Long Rural East,小磡村 Siu Hum Tsuen
52,CMPattern_CM_GMBBus_52_6110,10.1,26,13.26807936,Southern District Southeast > Southern District Northwest > Southern District Southeast > Southern District Northwest,FALSE,赤柱監獄 Stanley Prison,Southern District Southeast,石排灣邨公共運輸交滙處 Shek Pai Wan Estate Public Transport Interchange,Southern District Northwest,香港仔石排灣 Aberdeen (Shek Pai Wan)
44A,CMPattern_GMBBus44A_6343,18.1,6,25.4858021,Tuen Mun North > Robin’s Nest,FALSE,"鳴琴路，寶田商場外 Ming Kum Road, outside Po Tin Shopping Centre",Tuen Mun North,上水站小巴總站 Sheung Shui Station Public Light Bus Terminus,Robin’s Nest,上水站 Sheung Shui Station
44A,CMPattern_GMBBus44A_6344,18.1,5,25.00919151,Tuen Mun North > Robin’s Nest,FALSE,"震寰路，大興分區警署外 Tsun Wen Road, outside Tai Hing Divisional Police Station",Tuen Mun North,上水站小巴總站 Sheung Shui Station Public Light Bus Terminus,Robin’s Nest,上水站 Sheung Shui Station
76,CMPattern_GMBBus76_6889,7.5,15,11.97231116,Yuen Long Rural East > Yuen Long Town Centre,FALSE,"嘉龍路，新田軍營外 Ka Lung Road, outside San Tin Barracks",Yuen Long Rural East,"福康街，金寶樓外小巴總站 Fook Hong Street Public Light Bus Terminus, outside Kam Po Building",Yuen Long Town Centre,元朗福康街 Yuen Long (Fook Hong Street)
76,CMPattern_GMBBus76_9688,7.5,18,12.09681768,Yuen Long Rural East > Yuen Long Town Centre,FALSE,"嘉龍路，新田軍營外 Ka Lung Road, outside San Tin Barracks",Yuen Long Rural East,"福康街，金寶樓外小巴總站 Fook Hong Street Public Light Bus Terminus, outside Kam Po Building",Yuen Long Town Centre,元朗福康街（經元朗西） Yuen Long (Fook Hong Street) (via Yuen Long West)
12,CMPattern_CM_GMBBus_12_7282,5.7,26,7.338967295,Western > Central > Western,TRUE,"龍華街，近觀龍樓 B 座 Lung Wah Street, near Kwun Lung Lau Block B",Western,"龍華街，近觀龍樓 B 座 Lung Wah Street, near Kwun Lung Lau Block B",Western,觀龍樓 - 西營盤（循環綫） Kwun Lung Lau - Sai Ying Pun (Circular)
1,CMPattern_CM_GMBBus_1_7502,11.8,12,7.190639596,Central,FALSE,香港站小巴總站 Hong Kong Station Minibus Terminus,Central,山頂廣場（下層巴士總站） The Peak Galleria (Bus Terminus Under),Central,山頂公共交通總站 The Peak (Public Transport Terminus)
1,CMPattern_CM_GMBBus_1_7503,11.8,16,9.216614899,Central,FALSE,香港站小巴總站 Hong Kong Station Minibus Terminus,Central,山頂廣場（下層巴士總站） The Peak Galleria (Bus Terminus Under),Central,山頂公共交通總站（經加列山道） The Peak (Public Transport Terminus) (via Mount Kellett Road)
1,CMPattern_CM_GMBBus_1_7504,11.8,21,10.27134176,Central,FALSE,香港站小巴總站 Hong Kong Station Minibus Terminus,Central,山頂廣場（下層巴士總站） The Peak Galleria (Bus Terminus Under),Central,山頂公共交通總站（經文輝道及加列山道） The Peak (Public Transport Terminus) (via Mansfield Road and Mount Kellett Road)
56B,CMPattern_CM_GMBBus_56b_5990,11,26,7.702589768,Central > Western > Central > Wan Chai,FALSE,"羅便臣道，秀麗閣對面 Robinson Road, Opposite Serene Court",Central,天后公共運輸交滙處 Tin Hau Public Transport Interchange,Wan Chai,天后站 Tin Hau Station
20C,CMPattern_CM_GMBBus_20c_8657,8.8,26,10.88388222,Tai Po South > Tai Po North,FALSE,大埔墟站專綫小巴總站 Tai Po Market Station Minibus Terminus,Tai Po South,大美督公共運輸交滙處 Tai Mei Tuk Public Transport Interchange,Tai Po North,大尾篤 Tai Mei Tuk
20C,CMPattern_CM_GMBBus_20c_8659,8.8,26,11.97165848,Tai Po South > Tai Po North,FALSE,大埔墟站專綫小巴總站 Tai Po Market Station Minibus Terminus,Tai Po South,大美督公共運輸交滙處 Tai Mei Tuk Public Transport Interchange,Tai Po North,大尾篤（經山寮路） Tai Mei Tuk (via Shan Liu Road)
59K,CMPattern_CM_GMBBus_59k_8877,9.9,20,11.94688377,Robin’s Nest,FALSE,蓮麻坑小巴總站 Lin Ma Hang Minibus Terminus,Robin’s Nest,上水站小巴總站 Sheung Shui Station Public Light Bus Terminus,Robin’s Nest,上水站 Sheung Shui Station
33,CMPattern_CM_GMBBus_33_1_8754,12.7,26,14.20838443,Yuen Long Town Centre > Tin Shui Wai South and Ping Ha > Yuen Long Rural East > Tin Shui Wai South and Ping Ha,FALSE,"泰豐街，近泰豐樓 Tai Fung Street, near Tai Fung House",Yuen Long Town Centre,下白泥（稔灣路）小巴總站 Ha Pak Nai (Nim Wan Road) Minibus Terminus,Tin Shui Wai South and Ping Ha,下白泥 Ha Pak Nai
33,CMPattern_CM_GMBBus_33_1_8755,12.7,26,14.09222111,Tin Shui Wai South and Ping Ha > Yuen Long Town Centre,FALSE,下白泥（稔灣路）小巴總站 Ha Pak Nai (Nim Wan Road) Minibus Terminus,Tin Shui Wai South and Ping Ha,"泰豐街，近泰豐樓 Tai Fung Street, near Tai Fung House",Yuen Long Town Centre,元朗泰豐街 Yuen Long (Tai Fung Street)
56K,CMPattern_CM_GMBBus_56k_6200,10.5,17,11.40489961,Wu Tip Shan > Robin’s Nest,FALSE,粉嶺站專綫小巴總站 Public Light Bus (Scheduled) Service Terminus at Fanling Station,Wu Tip Shan,"鹿頸路，近鹿頸黃屋 Luk Keng Road, near Luk Keng Wong Uk",Robin’s Nest,鹿頸 Luk Keng
55K,CMPattern_CM_GMBBus_55k_6193,11.5,15,16.44287319,Robin’s Nest,FALSE,沙頭角小巴總站 Sha Tau Kok Public Light Bus Terminus,Robin’s Nest,上水站小巴總站 Sheung Shui Station Public Light Bus Terminus,Robin’s Nest,上水站（經龍山隧道） Sheung Shui Station (via Lung Shan Tunnel)
55K,CMPattern_CM_GMBBus_55k_6192,11.5,26,13.64471972,Robin’s Nest > Wu Tip Shan > Robin’s Nest,FALSE,沙頭角小巴總站 Sha Tau Kok Public Light Bus Terminus,Robin’s Nest,上水站小巴總站 Sheung Shui Station Public Light Bus Terminus,Robin’s Nest,上水站 Sheung Shui Station
2,CMPattern_CM_GMBBus_2_5919,7.9,25,7.09585357,Kowloon City South > Kowloon City North > Kowloon City South > Sham Shui Po East,FALSE,黃埔花園小巴總站 Whampoa Garden Minibus Terminus,Kowloon City South,"達之路，又一城地面 Tat Chee Avenue, Ground Floor of The Festival Walk",Sham Shui Po East,又一城公共交通交滙處 Tat Chee Avenue (Public Transport Interchange)
106,CMPattern_CM_GMBBus_106_7493,11.4,18,9.985955634,Kwun Tong West > Kwun Tong Central > Kwun Tong North > Sai Kung and Hang Hau > Tseung Kwan O North,FALSE,企業廣場 Enterprise Square,Kwun Tong West,寶琳公共運輸交滙處 Po Lam Station Public Transport Interchange,Tseung Kwan O North,寶琳 Po Lam
106,CMPattern_CM_GMBBus_106_7494,11.4,10,10.71601099,Kwun Tong West > Kwun Tong North > Sai Kung and Hang Hau > Tseung Kwan O North,FALSE,企業廣場 Enterprise Square,Kwun Tong West,寶琳公共運輸交滙處 Po Lam Station Public Transport Interchange,Tseung Kwan O North,寶琳（經觀塘繞道） Po Lam (via Kwun Tong Bypass)
2,CMPattern_CM_GMBBus_2_2_8484,7.2,26,13.18497315,Sai Kung and Hang Hau,TRUE,"宜春街，西貢街市對面 Yi Chun Street, Opposite Sai Kung Market",Sai Kung and Hang Hau,"宜春街，西貢街市對面 Yi Chun Street, Opposite Sai Kung Market",Sai Kung and Hang Hau,西貢宜春街 - 界咸（循環綫） Sai Kung (Yi Chun Street) - Kai Ham (Circular)
25A,CMPattern_CM_GMBBus_25a_1_8737,6.7,28,10.86345263,Tai Po South > Tai Po North > Tai Po South > Tai Po North > Tai Po South,TRUE,大埔墟（靖遠街）總站 Tai Po Market (Tsing Yuen Street) Terminus,Tai Po South,大埔墟（靖遠街）總站 Tai Po Market (Tsing Yuen Street) Terminus,Tai Po South,大埔墟 - 南華莆（循環綫） Tai Po Market - Nam Wa Po (Circular)
22S,CMPattern_CM_GMBBus_22s_6147,9.2,21,8.411541125,Central > Southern District Northwest,FALSE,中環（中環碼頭） Central (Central Ferry Piers),Central,"利牧徑，薄扶林花園 Claymore Avenue, Pok Fu Lam Garden",Southern District Northwest,薄扶林花園 Pok Fu Lam Gardens
22S,CMPattern_CM_GMBBus_22s_6148,9.2,26,9.840914543,Central > Southern District Northwest,FALSE,中環（中環碼頭） Central (Central Ferry Piers),Central,"利牧徑，薄扶林花園 Claymore Avenue, Pok Fu Lam Garden",Southern District Northwest,薄扶林花園（經郵政總局） Pok Fu Lam Gardens (via General Post Office)
22S,CMPattern_CM_GMBBus_22s_6150,9.2,26,10.42103548,Central > Southern District Northwest,FALSE,中環（中環碼頭） Central (Central Ferry Piers),Central,"利牧徑，薄扶林花園 Claymore Avenue, Pok Fu Lam Garden",Southern District Northwest,薄扶林花園（經中環交易廣場） Pok Fu Lam Gardens (via Central (Exchange Square))
54S,CMPattern_CM_GMBBus_54s_6264,6.5,15,9.597693702,Kwun Tong North > Kwun Tong West > Wong Tai Sin East > Kwun Tong West > Wong Tai Sin East > Kwun Tong North,TRUE,"利安里，近香港扶幼會盛德中心學校 Lee On Lane, near Society of Boy's Centre Shing Tak Centre School",Kwun Tong North,"利安里，近香港扶幼會盛德中心學校 Lee On Lane, near Society of Boy's Centre Shing Tak Centre School",Kwun Tong North,順利紀律部隊宿舍 - 黃大仙沙田坳道（循環綫） Shun Lee Disciplined Services Quarters - Wong Tai Sin (Shatin Pass Road) (Circular)
54,CMPattern_CM_GMBBus_54_7726,8.8,23,9.385984159,Southern District Northwest > Western > Central,FALSE,"瑪麗醫院 J 座 Queen Mary Hopital, Block J",Southern District Northwest,中環（中環碼頭） Central (Central Ferry Piers),Central,中環碼頭 Central (Ferry Piers)
13,CMPattern_CM_GMBBus_13_6101,8.8,26,7.319955937,Kowloon City North > Wong Tai Sin West > Kowloon City North > Kowloon City South > Kowloon City North > Kowloon City South,FALSE,"廣播道，雅麗園 B 座外 Broadcast Drive, outside Block B, Alice Court",Kowloon City North,紅磡（紅鸞道）小巴總站 Hung Hom (Hung Luen Road) GMB Terminus,Kowloon City South,紅磡紅鸞道（經嘉強苑） Hung Hom (Hung Luen Road) (via Ka Keung Court)
13,CMPattern_CM_GMBBus_13_6102,8.8,26,7.884288462,Kowloon City North > Wong Tai Sin West > Kowloon City North > Kowloon City South > Kowloon City North > Kowloon City South,FALSE,"廣播道，雅麗園 B 座外 Broadcast Drive, outside Block B, Alice Court",Kowloon City North,紅磡（紅鸞道）小巴總站 Hung Hom (Hung Luen Road) GMB Terminus,Kowloon City South,紅磡紅鸞道 Hung Hom (Hung Luen Road)
106,CMPattern_CM_GMBBus_106_7492,11.4,20,9.662692398,Tseung Kwan O North > Sai Kung and Hang Hau > Kwun Tong North > Kwun Tong West > Kwun Tong Central > Kwun Tong West,FALSE,寶琳公共運輸交滙處 Po Lam Station Public Transport Interchange,Tseung Kwan O North,企業廣場 Enterprise Square,Kwun Tong West,九龍灣 Kowloon Bay
810,CMPattern_CM_GMBBus_810_9162,7,17,10.12701291,Sha Tin North > Sha Tin East > Sha Tin West,FALSE,"鞍駿街，近雅典居第4座 On Chun Street, near Villa Athena Block 4",Sha Tin North,"沙田正街，近偉華中心第2座 Sha Tin Centre Street, near Wai Wah Centre Block 2",Sha Tin West,沙田市中心 Sha Tin Central
